timestamp_ms,current_a,current_uncertainty_a,temperature_proxy_c,measurement_valid,current_calibrated,current_polarity_validated,temperature_measured_at_fuse,model_validated,event
0,0.000000,0.500000,30.000000,1,1,1,0,1,
100,0.000000,0.500000,30.000000,1,1,1,0,1,
200,0.000000,0.500000,30.000000,1,1,1,0,1,
300,0.000000,0.500000,30.000000,1,1,1,0,1,
400,0.000000,0.500000,30.000000,1,1,1,0,1,
500,0.000000,0.500000,30.000000,1,1,1,0,1,
600,0.000000,0.500000,30.000000,1,1,1,0,1,
700,0.000000,0.500000,30.000000,1,1,1,0,1,
800,0.000000,0.500000,30.000000,1,1,1,0,1,
900,0.000000,0.500000,30.000000,1,1,1,0,1,
1000,0.000000,0.500000,30.000000,1,1,1,0,1,
1100,0.000000,0.500000,30.000000,1,1,1,0,1,
1200,0.000000,0.500000,30.000000,1,1,1,0,1,
1300,0.000000,0.500000,30.000000,1,1,1,0,1,
1400,0.000000,0.500000,30.000000,1,1,1,0,1,
1500,0.000000,0.500000,30.000000,1,1,1,0,1,
1600,0.000000,0.500000,30.000000,1,1,1,0,1,
1700,0.000000,0.500000,30.000000,1,1,1,0,1,
1800,0.000000,0.500000,30.000000,1,1,1,0,1,
1900,0.000000,0.500000,30.000000,1,1,1,0,1,
2000,0.000000,0.500000,30.000000,1,1,1,0,1,
2100,0.000000,0.500000,30.000000,1,1,1,0,1,
2200,0.000000,0.500000,30.000000,1,1,1,0,1,
2300,0.000000,0.500000,30.000000,1,1,1,0,1,
2400,0.000000,0.500000,30.000000,1,1,1,0,1,
2500,0.000000,0.500000,30.000000,1,1,1,0,1,
2600,0.000000,0.500000,30.000000,1,1,1,0,1,
2700,0.000000,0.500000,30.000000,1,1,1,0,1,
2800,0.000000,0.500000,30.000000,1,1,1,0,1,
2900,0.000000,0.500000,30.000000,1,1,1,0,1,
3000,0.000000,0.500000,30.000000,1,1,1,0,1,
3100,0.000000,0.500000,30.000000,1,1,1,0,1,
3200,0.000000,0.500000,30.000000,1,1,1,0,1,
3300,0.000000,0.500000,30.000000,1,1,1,0,1,
3400,0.000000,0.500000,30.000000,1,1,1,0,1,
3500,0.000000,0.500000,30.000000,1,1,1,0,1,
