VISHAY NTC RT Calculation
The NTC R/T Calculator tool may be used to determine certain capabilities of Vishay NTC thermistors."Utilizing data provided by the user," the tool can generate standard R/T tables for such thermistors. TheNTC R/T Calculator tool is provided solely on an "AS IS" and "AS AVAILABLE" basis for the convenience"of Vishay customers, and without any warranties or representations of any kind, express or implied," all"of which are hereby expressly disclaimed. Any information, computations," or results generated by the"tool, or otherwise available from or through the csv or pdf files," is provided and utilized at your owndiscretion and risk. Vishay does not assume any responsibility or liability resulting from your use of  the"tool or any such information, computations, or results," and shall have none."The foregoing is in addition to, and not in limitations of," the disclaimer below:Vishay disclaimer https://www.vishay.com/doc?91000"For technical questions or inquiries," contact: nlr@vishay.com or thermistor1@vishay.comOrdering Code,,NTCLE350E4103FHB0
B(25/85) [K],,3984
R at 25 deg C [ohm],,10000, B(0/100) [K],,3954
R25 Tol [%],,1, B(25/50) [K],,3939
B Tol [%],,0.5, B(25/75) [K],,undefined
,,, B(25/100) [K],,4001
RT=R25*EXP(A+B/(T+273.15)+C/(T+273.15)^2+D/(T+273.15)^3)
T,< 25 deg C,>= 25 deg C
A,-14.65719769,-14.65719769
B,4798.84200000,4798.84200000
C,-115334.00000000,-115334.00000000
D,-3730535.00000000,-3730535.00000000

T=1/(A1+B1*LN(RT/R25)+C1*LN(RT/R25)^2+D1*LN(RT/R25)^3)-273.15
T,< 25 deg C,>= 25 deg C
A1,0.003354016434680530000,0.003354016434680530000
B1,0.000256523550896126000,0.000256523550896126000
C1,0.000002605970120720520,0.000002605970120720520
D1,0.000000063292612648746,0.000000063292612648746

T [celsius], Rnom [ohms], Rmin [ohms], Rmax [ohms], delta R/R [+-%], delta T [+- celsius], alpha [%/K]
"-20","96761.15","94632.9","98889.4","2.20","0.38","-5.79"
"-19.5","94002.70","91949.8","96055.6","2.18","0.38","-5.77"
"-19","91331.53","89351.2","93311.8","2.17","0.38","-5.76"
"-18.5","88744.61","86834.2","90655.0","2.15","0.38","-5.74"
"-18","86239.05","84395.9","88082.2","2.14","0.37","-5.72"
"-17.5","83812.05","82033.7","85590.4","2.12","0.37","-5.70"
"-17","81460.91","79745.0","83176.8","2.11","0.37","-5.68"
"-16.5","79183.05","77527.2","80838.9","2.09","0.37","-5.66"
"-16","76975.96","75378.0","78573.9","2.08","0.37","-5.64"
"-15.5","74837.25","73295.1","76379.4","2.06","0.37","-5.63"
"-15","72764.59","71276.1","74253.1","2.05","0.36","-5.61"
"-14.5","70755.76","69319.0","72192.5","2.03","0.36","-5.59"
"-14","68808.60","67421.7","70195.5","2.02","0.36","-5.57"
"-13.5","66921.05","65582.2","68259.9","2.00","0.36","-5.55"
"-13","65091.10","63798.6","66383.6","1.99","0.36","-5.54"
"-12.5","63316.83","62069.0","64564.7","1.97","0.36","-5.52"
"-12","61596.39","60391.5","62801.3","1.96","0.36","-5.50"
"-11.5","59927.99","58764.6","61091.4","1.94","0.35","-5.48"
"-11","58309.91","57186.5","59433.4","1.93","0.35","-5.47"
"-10.5","56740.48","55655.6","57825.4","1.91","0.35","-5.45"
"-10","55218.10","54170.3","56265.9","1.90","0.35","-5.43"
"-9.5","53741.23","52729.3","54753.2","1.88","0.35","-5.41"
"-9","52308.38","51331.0","53285.8","1.87","0.35","-5.40"
"-8.5","50918.11","49974.0","51862.2","1.85","0.34","-5.38"
"-8","49569.02","48657.0","50481.0","1.84","0.34","-5.36"
"-7.5","48259.80","47378.8","49140.8","1.83","0.34","-5.34"
"-7","46989.13","46138.0","47840.3","1.81","0.34","-5.33"
"-6.5","45755.79","44933.5","46578.1","1.80","0.34","-5.31"
"-6","44558.56","43764.1","45353.1","1.78","0.34","-5.29"
"-5.5","43396.28","42628.6","44163.9","1.77","0.34","-5.28"
"-5","42267.85","41526.1","43009.6","1.75","0.33","-5.26"
"-4.5","41172.17","40455.4","41889.0","1.74","0.33","-5.24"
"-4","40108.20","39415.5","40800.9","1.73","0.33","-5.23"
"-3.5","39074.94","38405.5","39744.4","1.71","0.33","-5.21"
"-3","38071.41","37424.4","38718.4","1.70","0.33","-5.20"
"-2.5","37096.68","36471.4","37722.0","1.69","0.33","-5.18"
"-2","36149.83","35545.4","36754.2","1.67","0.32","-5.16"
"-1.5","35230.00","34645.8","35814.2","1.66","0.32","-5.15"
"-1","34336.32","33771.6","34901.0","1.64","0.32","-5.13"
"-0.5","33468.00","32922.1","34013.9","1.63","0.32","-5.11"
"0","32624.23","32096.5","33152.0","1.62","0.32","-5.10"
"0.5","31804.26","31294.1","32314.4","1.60","0.32","-5.08"
"1","31007.34","30514.1","31500.6","1.59","0.31","-5.07"
"1.5","30232.77","29755.9","30709.7","1.58","0.31","-5.05"
"2","29479.85","29018.8","29940.9","1.56","0.31","-5.04"
"2.5","28747.93","28302.1","29193.8","1.55","0.31","-5.02"
"3","28036.35","27605.3","28467.4","1.54","0.31","-5.01"
"3.5","27344.49","26927.6","27761.3","1.52","0.31","-4.99"
"4","26671.76","26268.7","27074.9","1.51","0.30","-4.97"
"4.5","26017.57","25627.8","26407.4","1.50","0.30","-4.96"
"5","25381.36","25004.4","25758.3","1.49","0.30","-4.94"
"5.5","24762.59","24398.0","25127.2","1.47","0.30","-4.93"
"6","24160.73","23808.2","24513.3","1.46","0.30","-4.91"
"6.5","23575.26","23234.3","23916.3","1.45","0.30","-4.90"
"7","23005.71","22675.9","23335.5","1.43","0.29","-4.88"
"7.5","22451.59","22132.6","22770.6","1.42","0.29","-4.87"
"8","21912.45","21603.9","22221.0","1.41","0.29","-4.85"
"8.5","21387.83","21089.4","21686.3","1.40","0.29","-4.84"
"9","20877.31","20588.6","21166.0","1.38","0.29","-4.82"
"9.5","20380.47","20101.2","20659.7","1.37","0.28","-4.81"
"10","19896.90","19626.8","20167.0","1.36","0.28","-4.80"
"10.5","19426.22","19164.9","19687.5","1.34","0.28","-4.78"
"11","18968.04","18715.3","19220.8","1.33","0.28","-4.77"
"11.5","18522.00","18277.5","18766.5","1.32","0.28","-4.75"
"12","18087.75","17851.2","18324.3","1.31","0.28","-4.74"
"12.5","17664.94","17436.1","17893.8","1.30","0.27","-4.72"
"13","17253.25","17031.9","17474.6","1.28","0.27","-4.71"
"13.5","16852.33","16638.2","17066.5","1.27","0.27","-4.70"
"14","16461.90","16254.7","16669.1","1.26","0.27","-4.68"
"14.5","16081.64","15881.2","16282.1","1.25","0.27","-4.67"
"15","15711.26","15517.4","15905.2","1.23","0.27","-4.65"
"15.5","15350.47","15162.9","15538.1","1.22","0.26","-4.64"
"16","14999.01","14817.5","15180.5","1.21","0.26","-4.63"
"16.5","14656.61","14481.0","14832.2","1.20","0.26","-4.61"
"17","14323.01","14153.1","14492.9","1.19","0.26","-4.60"
"17.5","13997.96","13833.6","14162.3","1.17","0.26","-4.58"
"18","13681.22","13522.2","13840.2","1.16","0.25","-4.57"
"18.5","13372.55","13218.7","13526.4","1.15","0.25","-4.56"
"19","13071.73","12922.9","13220.6","1.14","0.25","-4.54"
"19.5","12778.53","12634.5","12922.5","1.13","0.25","-4.53"
"20","12492.75","12353.4","12632.1","1.12","0.25","-4.52"
"20.5","12214.17","12079.4","12348.9","1.10","0.25","-4.50"
"21","11942.59","11812.2","12073.0","1.09","0.24","-4.49"
"21.5","11677.83","11551.7","11804.0","1.08","0.24","-4.48"
"22","11419.69","11297.7","11541.7","1.07","0.24","-4.46"
